model,dataset,reason
gemma4:12b,TUAB,retry
gemma4:12b,TUAR,retry
gemma4:12b,TUEP,retry
gemma4:12b,TUEV,retry
gemma4:12b,TUSL,retry
gemma4:12b,TUSZ,retry
gemma4:26b,TUSL,retry
minicpm-v4.6:1b,TUAB,retry
minicpm-v4.6:1b,TUSZ,retry
qwen2.5vl:3b,TUAB,retry
qwen2.5vl:3b,TUAR,retry
qwen2.5vl:3b,TUEP,retry
qwen2.5vl:3b,TUEV,retry
qwen2.5vl:3b,TUSL,retry
qwen2.5vl:3b,TUSZ,retry
qwen3-vl:2b-thinking,TUAB,retry
qwen3-vl:2b-thinking,TUAR,retry
qwen3-vl:2b-thinking,TUEP,retry
qwen3-vl:2b-thinking,TUEV,retry
qwen3-vl:2b-thinking,TUSL,retry
qwen3-vl:2b-thinking,TUSZ,retry
qwen3-vl:4b-thinking,TUAR,retry
qwen3-vl:4b-thinking,TUSZ,retry
qwen3-vl:8b-thinking,TUAR,retry
qwen3-vl:8b-thinking,TUSZ,retry
minicpm-v4.5:8b,TUSZ,timeout
qwen2.5vl:7b,TUSZ,timeout
qwen3-vl:8b-instruct,TUSZ,timeout
qwen3-vl:8b-thinking,TUEP,timeout
qwen3-vl:8b-thinking,TUEV,timeout
qwen3-vl:8b-thinking,TUSL,timeout
deepseek-ocr:3b,TUAB,timeout
gemma3:4b,TUSZ,timeout
gemma4:e2b,TUEP,timeout
gemma4:e2b,TUSZ,timeout
gemma4:e4b,TUEP,timeout
gemma4:e4b,TUSZ,timeout
glm-ocr:latest,TUSZ,timeout
granite3.2-vision:2b,TUEP,timeout
granite3.2-vision:2b,TUSZ,timeout
medgemma:4b,TUSZ,timeout
medgemma1.5:4b,TUSZ,timeout
qwen3-vl:2b-instruct,TUSZ,timeout
qwen3-vl:4b-instruct,TUSZ,timeout
qwen3-vl:4b-thinking,TUEP,timeout
gemma4:26b,TUEP,timeout
gemma4:26b,TUAB,timeout
gemma4:26b,TUSZ,timeout
gemma4:31b,TUEP,timeout
gemma4:31b,TUSZ,timeout
qwen2.5vl:32b,TUSZ,timeout
qwen3-vl:30b-a3b-thinking,TUSZ,timeout
qwen3-vl:32b-instruct,TUSZ,timeout
qwen3-vl:32b-thinking,TUSZ,timeout
minicpm-v4.6:1b,TUEP,oom
