path,prediction,actual,correct,text_rationale,api_json
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__pled_001_a_.png,"{'BCKG', 'PLED'}",{'GPED'},False,"The EEG spectrograms show a continuous pattern of waves without any distinct sharp or slow wave patterns that would indicate the presence of ARTF (Artifact), EYEM (Eye Movement),","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous pattern of waves without any distinct sharp or slow wave patterns that would indicate the presence of ARTF (Artifact), EYEM (Eye Movement),"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:58:15.724207Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 14319556459, ""load_duration"": 2243800792, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 10233910000, ""eval_count"": 96, ""eval_duration"": 1791760000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ce96-75a0-a141-70ff46986133-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__003__bckg_003_a_.png,{'BCKG'},"{'BCKG', 'ARTF'}",False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:58:27.219888Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 25819786375, ""load_duration"": 2247835000, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9647619000, ""eval_count"": 96, ""eval_duration"": 1794534000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ce95-77e0-bc00-d2445b9a2972-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__002__bckg_002_a_.png,{'BCKG'},set(),False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:58:38.745223Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 37336087291, ""load_duration"": 2234085833, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9680445000, ""eval_count"": 96, ""eval_duration"": 1796521000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ceb1-7012-b1e6-c3b6d3bc0f1c-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__pled_001_a_3.png,"{'BCKG', 'PLED'}",{'GPED'},False,"The EEG spectrograms show a continuous recording with no distinct events or patterns that match the specific criteria for ARTF (Artifact), BCKG (Background), EYEM (Eye","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous recording with no distinct events or patterns that match the specific criteria for ARTF (Artifact), BCKG (Background), EYEM (Eye"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:58:50.269897Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 48869806208, ""load_duration"": 2243351375, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9669830000, ""eval_count"": 96, ""eval_duration"": 1802196000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ce9c-7af3-8daf-d70181a52ae6-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__pled_001_a_2.png,"{'BCKG', 'PLED'}",set(),False,"The EEG spectrograms show a continuous pattern of electrical activity across multiple channels, which is characteristic of background (BCKG) activity. There are no distinct patterns or events that resemble","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": true,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous pattern of electrical activity across multiple channels, which is characteristic of background (BCKG) activity. There are no distinct patterns or events that resemble"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:59:01.775779Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 60370616458, ""load_duration"": 2238477708, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9646681000, ""eval_count"": 96, ""eval_duration"": 1804539000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ceb4-7912-ac2a-95e033c8d86f-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__002__spsw_002_a_1.png,"{'SPSW', 'BCKG'}",set(),False,"The EEG spectrograms show a pattern consistent with sleep spindles, which are typically associated with the SPSW (Sleep Spindle) event category. Sleep spindles are","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": true,\n\n  \""text_rationale\"": \""The EEG spectrograms show a pattern consistent with sleep spindles, which are typically associated with the SPSW (Sleep Spindle) event category. Sleep spindles are"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:59:13.304364Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 71899551958, ""load_duration"": 2242930917, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9659359000, ""eval_count"": 96, ""eval_duration"": 1821567000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ceb8-7dc3-b363-a013845825a7-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__spsw_001_a_1.png,"{'SPSW', 'BCKG'}",set(),False,"The EEG spectrograms show a pattern consistent with sleep spindles, which are typically associated with the SPSW (Sleep Spindle) event category. Sleep spindles are","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": true,\n\n  \""text_rationale\"": \""The EEG spectrograms show a pattern consistent with sleep spindles, which are typically associated with the SPSW (Sleep Spindle) event category. Sleep spindles are"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:59:25.08351Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 83675681166, ""load_duration"": 2236368375, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9836137000, ""eval_count"": 96, ""eval_duration"": 1867777000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-cea6-7120-8a9e-537fa63391eb-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__000__bckg_000_a_.png,{'BCKG'},set(),False,"The EEG spectrograms show a consistent baseline activity across all channels, which is characteristic of background (BCKG) activity. There are no sharp transients or distinct patterns that would","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a consistent baseline activity across all channels, which is characteristic of background (BCKG) activity. There are no sharp transients or distinct patterns that would"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:59:36.896519Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 95496917834, ""load_duration"": 2245167709, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9933824000, ""eval_count"": 96, ""eval_duration"": 1817715000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ce95-77e0-bc00-d23e384bff7f-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__004__bckg_004_a_.png,{'BCKG'},"{'EYEM', 'BCKG'}",False,"The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a continuous background activity without any distinct events such as ARTF (Artifact), EYEM (Eye Movement), GPED (Generalized Periodic Discharges"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T19:59:48.689306Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 107289926958, ""load_duration"": 2244127166, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9882798000, ""eval_count"": 96, ""eval_duration"": 1813286000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ce96-75a0-a141-70e628e49c07-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
/Users/luka/dev/TUEG-VLM-prediction/TUEV/data/eval__001__bckg_001_a_.png,{'BCKG'},"{'BCKG', 'ARTF'}",False,"The EEG spectrograms show a consistent pattern of low-frequency waves across all channels, which is characteristic of background activity (BCKG). There are no distinct patterns or events that would","{""content"": ""{ \""has_artf\"": false,\n  \""has_bckg\"": true,\n  \""has_eyem\"": false,\n  \""has_gped\"": false,\n  \""has_pled\"": false,\n  \""has_spsw\"": false,\n\n  \""text_rationale\"": \""The EEG spectrograms show a consistent pattern of low-frequency waves across all channels, which is characteristic of background activity (BCKG). There are no distinct patterns or events that would"", ""additional_kwargs"": {}, ""response_metadata"": {""model"": ""qwen2.5vl:7b"", ""created_at"": ""2026-06-29T20:00:00.473336Z"", ""done"": true, ""done_reason"": ""length"", ""total_duration"": 119073835458, ""load_duration"": 2247297917, ""prompt_eval_count"": 4000, ""prompt_eval_duration"": 9873335000, ""eval_count"": 96, ""eval_duration"": 1816327000, ""logprobs"": null, ""model_name"": ""qwen2.5vl:7b"", ""model_provider"": ""ollama""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019f14f5-ce96-75a0-a141-70db5e8a4028-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 4000, ""output_tokens"": 96, ""total_tokens"": 4096}}"
